ACK_ID,Employer Identification Number (EIN),Name of plan,Administrator's telephone number,Date of Signature of plan administrator,Name of individual signing as plan administrator,Business Code,Industry,Plan year ending date,Plan sponsor's care of Name,Plan sponsor's DFE/DBA name,Date of plan sponsor signed,Name of individual signing as plan sponsor,Company Name,Plan Sponsor's mailing address 1,Plan Sponsor's mailing address 2,Plan Sponsor's mailing city or town,Plan Sponsor's mailing state or province,Plan Sponsor's mailing ZIP or postal code,County,Sponsor's telephone number,"Total number of active participants, BOY","Total number of active participants, EOY",Total of active/retired/separated/deceased of participants entl. to benefits ,"Number of DC plan participants with account balances, EOY","Total assets, BOY","Total assets, EOY",Total benefit payments,Adminexp,Total expenses,Total fidelity bond,Amount of Contributions Received or receivable in cash from Employers,Amount of Contributions Received or receivable in cash from Others (including rollovers),Amount of Contributions Received or receivable in cash from Participants,"Participant loans, EOY",Total Corrective distributions,Total Certain deemed distributions of participant loans,Applicable welfare feature codes from the List of Plan Characteristics Codes,Applicable pension feature codes from the List of Plan Characteristics Codes,planscore,Not 404(c) Compliant,No QDIA,No automatic enrollment,Insufficient fidelity bond,No 401(k) Provision,Failed to transmit payment on time,Corrective distribution was made,No 404(c) with participant directed accts,Loss from fraud or dishonesty,ParticswithBal,ActPartics,AvgPartContrib,AvgEmpContrib,AvgBalance,plantype,ProvName1,ProvRelation1,ProvFees1,ProvPosition1,ProvName2,ProvRelation2,ProvFees2,ProvPosition2,ProvName3,ProvRelation3,ProvFees3,ProvPosition3,ProvName4,ProvRelation4,ProvFees4,ProvPosition4,ProvName5,ProvRelation5,ProvFees5,ProvPosition5,ProvName6,ProvRelation6,ProvFees6,ProvPosition6,ProvName7,ProvRelation7,ProvFees7,ProvPosition7,ProvName8,ProvRelation8,ProvFees8,ProvPosition8,ProvName9,ProvRelation9,ProvFees9,ProvPosition9,ProvName10,ProvRelation10,ProvFees10,ProvPosition10,ProvName11,ProvRelation11,ProvFees11,ProvPosition11,ProvName12,ProvRelation12,ProvFees12,ProvPosition12,ProvName13,ProvRelation13,ProvFees13,ProvPosition13,ProvName14,ProvRelation14,ProvFees14,ProvPosition14
20250827123612NAL0005026227001,770493581,GOOGLE LLC 401(K) SAVINGS PLAN,(650) 623-4000,20250827,KYLE COTRUFELLO,519100,Other Information Services,20241231,,,,KYLE COTRUFELLO,GOOGLE LLC,1600 AMPHITHEATRE PARKWAY,,MOUNTAIN VIEW,CA,940431351,Santa Clara County,(650) 623-4000,"116,712","114,321","155,598","154,637"," $39,047,152,408.00 "," $48,738,057,415.00 "," $1,592,902,569.00 "," $2,685,747.00 "," $1,596,520,101.00 "," $500,000.00 "," $1,213,532,482.00 "," $321,652,611.00 "," $3,534,823,621.00 "," $120,942,045.00 "," $931,785.00 ",,,2E2F2G2J2K2R2S2T3F3H,85,,,,,,,Y,,,154637,114321," $30,920.16 "," $10,615.13 "," $315,177.22 ",DC,VANGUARD ADVISERS Incorporated,NONE,"1,907,041",Investment advisory (participants),THE VANGUARD GROUP Incorporated,NONE,"834,706","Recordkeeping and information management (computing, tabulating, data processing, etc.)",CHARLES SCHWAB & CO INC,NONE,"261,716",Other fees ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250425143927NAL0005242051001,542185193,ORACLE CORPORATION 401(K) SAVINGS AND INVESTMENT PLAN,,20250425,RHONDA DAVIDSON,541512,Computer Systems Design Services,20241231,,,,RHONDA DAVIDSON,ORACLE CORPORATION,500 ORACLE PARKWAY,"M/S 5OP8, BENEFITS",REDWOOD SHORES,CA,94065,San Mateo County,(650) 506-7000,"58,962","58,808","101,985","99,815"," $26,320,437,734.00 "," $31,026,465,040.00 "," $2,062,508,643.00 "," $10,712,603.00 "," $2,073,848,045.00 "," $15,000,000.00 "," $201,444,825.00 "," $138,389,483.00 "," $966,225,687.00 "," $101,627,177.00 "," $300,496.00 "," $326,303.00 ",,2E2F2G2J2K2R2T,71,,,Y,,,,Y,,,99815,58808," $16,430.17 "," $3,425.47 "," $310,839.69 ",DC,FINANCIAL ENGINES,ADVISOR,"1,926,018",Investment advisory (plan),FIDELITY INVESTMENTS INSTITUTIONAL,RECORDKEEPER,"1,066,857",Participant loan processing,MERCER INVESTMENTS LLC,INVESTMENT ADVISOR,"230,765",Investment advisory (plan),SENSIBA LLP,ACCOUNTANT/AUDITOR,"82,500",Accounting (including auditing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250902075715NAL0024134752001,941672743,INTEL 401(K) SAVINGS PLAN,(800) 238-0486,20250902,IRINA SILIC,334410,Semiconductor and Other Electronic Component Manufacturing,20241231,,,,IRINA SILIC,INTEL CORPORATION,1900 PRAIRIE CITY RD,M/S FM3-05,FOLSOM,CA,956309501,Sacramento County,,"55,298","46,693","80,916","80,583"," $22,179,181,890.00 "," $24,850,880,304.00 "," $2,462,447,016.00 "," $268,048.00 "," $2,462,715,064.00 "," $2,000,000.00 "," $570,462,285.00 ",," $1,101,420,400.00 "," $136,373,143.00 ",,,,2E2F2G2J2O2R2S2T3F3H2K,88,,,,,,,,,,80583,46693," $23,588.55 "," $12,217.30 "," $308,388.63 ",DC,FIDELITY INVEST Institutional OPS CO,RECORDKEEPER,"222,720",Participant loan processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250917213639NAL0000924912001,942404110,APPLE 401(K) PLAN,,20250917,ALLEN CHIU,334110,Computer and Peripheral Equipment Manufacturing,20241231,,,,ALLEN CHIU,APPLE INC.,ONE APPLE PARK WAY,MS 41-4BEN,CUPERTINO,CA,95014,Santa Clara County,(408) 974-3833,"101,450","101,217","145,428","143,849"," $19,779,511,539.00 "," $24,714,519,387.00 "," $1,010,530,906.00 "," $7,357,584.00 "," $1,018,643,262.00 "," $15,000,000.00 "," $733,748,273.00 "," $281,896,692.00 "," $1,464,448,926.00 "," $225,673,912.00 "," $10,770.00 "," $744,002.00 ",,2A2E2F2G2J2K2R2S2T3F3H,76,,,,,,,Y,,,143849,101217," $14,468.41 "," $7,249.26 "," $171,808.77 ",DC,WILLIAM BLAIR INVESTMENT Management,NONE,"2,561,538",Investment advisory (participants),FINANCIAL ENGINES,NONE,"1,929,300",Investment advisory (plan),BARROW HANELY MEWHINNEY & STRAUS,NONE,"1,521,364",Investment advisory (participants),Fidelity Investment Institutional OPS CO,NONE,"1,394,585",Participant loan processing,MARINER WEALTH ADVISORS LLC,NONE,"58,735",Investment advisory (participants),FISHER INVESTMENT,NONE,"52,243",Investment advisory (participants),ENVESTNET advisor Corporate,NONE,"18,254",Investment advisory (participants),CORIENT,NONE,"13,611",Investment advisory (participants),CHURCHILL Management GROUP,NONE,"12,293",Investment advisory (participants),SFMG WEALTH ADVISORS,NONE,"10,330",Investment advisory (participants),CREATIVE PLANNING,NONE,"10,222",Investment advisory (participants),DYNAMIC WEALTH,NONE,"7,106",Investment advisory (participants),ABSOLUTE CAPITAL Management,NONE,"5,854",Investment advisory (participants),,,,
20250730174516NAL0005109777001,770059951,"CISCO SYSTEMS,INC. 401(K) PLAN",,20250730,ROGER BISCAY,334200,Communications Equipment Manufacturing,20241231,,,,ROGER BISCAY,"CISCO SYSTEMS,INC.",170 WEST TASMAN DRIVE,"MAILSTOP, SJC 11 3",SAN JOSE,CA,951341706,Santa Clara County,(408) 526-4000,"40,452","40,599","72,556","72,060"," $18,936,496,958.00 "," $22,728,425,546.00 "," $1,586,283,503.00 "," $6,755,169.00 "," $1,596,820,853.00 "," $25,000,000.00 "," $360,041,223.00 "," $112,817,501.00 "," $765,657,609.00 "," $86,253,580.00 "," $3,607,855.00 "," $174,326.00 ",,2E2F2G2J2K2R2T3F,80,,,Y,,,,Y,,,72060,40599," $18,859.03 "," $8,868.23 "," $315,409.75 ",DC,FINANCIAL ENGINES,ADVISOR,"3,611,306",Investment advisory (plan),PRICEWATERHOUSECOOPERS LLP,ACCOUNTANT/AUDITOR,"93,000",Accounting (including auditing),FIDELITY INVESTMENTS INSTITUTIONAL,RECORDKEEPER,"-1,231,180",Participant loan processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250901141031NAL0013656881001,941340523,KAISER PERMANENTE 401(K) RETIREMENT PLAN,(510) 271-5940,20250901,MARYANN KHINDA-LOMBARDO,621491,HMO Medical Centers,20241231,,,,MARYANN KHINDA-LOMBARDO,"KAISER FOUNDATION HEALTH PLAN, INC.",ONE KAISER PLAZA,20B,OAKLAND,CA,94612,Alameda County,(510) 271-5940,"149,110","155,687","179,236","176,765"," $19,708,272,899.00 "," $22,541,089,460.00 "," $1,303,461,453.00 "," $10,024,226.00 "," $1,318,052,214.00 "," $85,000,000.00 "," $214,924,460.00 "," $77,198,482.00 "," $1,332,760,276.00 "," $514,181,510.00 "," $914,813.00 "," $3,651,722.00 ",,2E2F2G2J2R2S2T3H,41,,,,,,,Y,,,176765,155687," $8,560.51 "," $1,380.49 "," $127,520.09 ",DC,VANGUARD ADVISERS Incorporated,NONE,"8,392,216",Investment advisory (participants),THE VANGUARD GROUP Incorporated,NONE,"2,418,261","Recordkeeping and information management (computing, tabulating, data processing, etc.)",QDRO CONSULTANTS CO LLC,NONE,"29,050",Consulting (general),CHARLES SCHWAB & CO INC,NONE,"18,655",Other fees ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250626144952NAL0012969680001,201665019,"META PLATFORMS, INC 401(K) PLAN",,20250626,KAYE DOWNEY,519100,Other Information Services,20241231,,,,KAYE DOWNEY,"META PLATFORMS, INC.",1 META WAY,,MENLO PARK,CA,94025,San Mateo County,(650) 543-4800,"51,434","58,603","84,993","83,487"," $12,210,741,603.00 "," $16,455,927,820.00 "," $658,460,048.00 "," $206,548.00 "," $659,065,918.00 "," $1,000,000.00 "," $670,442,409.00 "," $311,501,739.00 "," $1,704,113,876.00 "," $55,437,938.00 "," $372,064.00 "," $27,258.00 ",,2T3H2J2E2G2F2K2S3D2R,89,,,,,,,Y,,,83487,58603," $29,078.95 "," $11,440.41 "," $197,107.67 ",DC,FIDELITY INVESTMENTS INSTITUTIONAL,RECORDKEEPER,"456,978",Participant loan processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250910143324NAL0013496243001,340276860,L3HARRIS RETIREMENT SAVINGS PLAN,(321) 724-3554,20250910,ANDREA HARTMAN,334200,Communications Equipment Manufacturing,20241231,GLOBAL BENEFITS DEPARTMENT,,,ANDREA HARTMAN,"L3HARRIS TECHNOLOGIES, INC.",1025 WEST NASA BLVD,,MELBOURNE,FL,32901,Brevard County,(321) 724-3554,"40,330","41,945","74,641","73,549"," $15,384,363,901.00 "," $16,316,786,122.00 "," $1,939,409,109.00 "," $3,631,281.00 "," $1,943,991,522.00 "," $15,000,000.00 "," $424,182.00 "," $74,279,339.00 "," $536,583,184.00 "," $145,570,262.00 "," $127,643.00 "," $823,489.00 ",,2F2E2J2K2S2T3F2G2R,52,,,,,,,Y,,,73549,41945," $12,792.54 ", $10.11 ," $221,849.19 ",DC,,NONE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251007154215NAL0002583779001,942347624,U.S. ROCHE 401(K) SAVINGS PLAN,,20251007,ALAYNE GATTI,325410,Pharmaceutical and Medicine Manufacturing,20241231,,,,ALAYNE GATTI,"GENENTECH, INC.",1 DNA WAY,,SOUTH SAN FRANCISCO,CA,94080,San Mateo County,(650) 225-1000,"22,986","21,619","36,458","36,215"," $12,904,988,914.00 "," $14,347,809,529.00 "," $1,189,559,981.00 "," $1,303,704.00 "," $1,190,863,685.00 "," $10,000,000.00 "," $394,022,796.00 "," $45,066,785.00 "," $420,880,532.00 "," $70,435,474.00 ",,,,2F2G2J2K2R3F3H2E,77,,Y,Y,,,,,,,36215,21619," $19,468.09 "," $18,225.76 "," $396,184.19 ",DC,FIDELITY Investment Institutional OPS CO Incorporated,RECORDKEEPER,"913,358",Participant loan processing,CALLAN ASSOCIATES Incorporated,CONSULTANT,"274,070",Consulting (general),RUSSELL INVESTMENTS,CONSULTANT,"190,633",Consulting (general),STATE STREET BANK AND TRUST CO,TRUSTEE,"21,239","Trustee (bank, trust company, or similar financial institution)",MERCER,ACTURARY,"7,987",Actuarial,RSM US LLP,AUDITOR,"7,000",Accounting (including auditing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250901135013NAL0027602178001,941340523,KAISER PERMANENTE TAX SHELTERED ANNUITY PLAN,,20250901,MARYANN KHINDA-LOMBARDO,621491,HMO Medical Centers,20241231,,,,MARYANN KHINDA-LOMBARDO,"KAISER FOUNDATION HEALTH PLAN, INC.",ONE KAISER PLAZA,20B,OAKLAND,CA,94612,Alameda County,(510) 271-5940,"79,670","80,148","105,882","104,754"," $12,276,186,295.00 "," $13,849,659,130.00 "," $983,055,477.00 "," $4,973,112.00 "," $988,512,372.00 "," $85,000,000.00 "," $71,900,067.00 "," $62,200,746.00 "," $808,193,831.00 "," $162,791,438.00 "," $103,283.00 "," $380,500.00 ",,2E2F2G2J2K2R2T3H,46,,,Y,,,,Y,,,104754,80148," $10,083.77 ", $897.09 ," $132,211.27 ",DC,VANGUARD ADVISERS Incorporated,NONE,"3,959,711",Investment advisory (participants),THE VANGUARD GROUP Incorporated,NONE,"1,309,001","Recordkeeping and information management (computing, tabulating, data processing, etc.)",CHARLES SCHWAB & CO INC,NONE,"39,076",Other fees ,QDRO CONSULTANTS CO LLC,NONE,"18,000",Consulting (general),CHARLES SCHWAB & CO INC,NONE,"14,475",Other fees ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
